source	target	depth
philosophy of physics	quantum metaphysics	3
philosophy of physics	quantum mysticism	3
philosophy of physics	reductionism	3
philosophy of physics	theory of relativity	3
philosophy of physics	introduction to general relativity	3
philosophy of physics	introduction to special relativity	3
philosophy of physics	space	3
philosophy of physics	absolute theory	3
philosophy of physics	container space	3
philosophy of physics	free space	3
philosophy of physics	relational space	3
philosophy of physics	relational theory	3
philosophy of physics	spacetime	3
philosophy of physics	supervenience	3
philosophy of physics	symmetry in physics	3
philosophy of physics	theophysics	3
philosophy of physics	time in physics	3
philosophy of science	bayesian epistemology	3
philosophy of science	criticism of science	3
philosophy of science	history and philosophy of science	3
philosophy of science	metaphysical naturalism	3
philosophy of science	metascience	3
philosophy of science	objectivity (philosophy)	3
philosophy of science	philosophy of engineering	3
philosophy of science	science policy	3
philosophy of logic	ambiguity	3
philosophy of logic	context-free grammar	3
philosophy of logic	intension	3
philosophy of logic	is logic empirical?	3
philosophy of logic	concatenation theory	3
philosophy of logic	linguistic modality	3
philosophy of logic	philosophy of mathematics	3
philosophy of logic	pierce's type-token distinction	3
philosophy of logic	type-token distinction	3
philosophy of logic	use–mention distinction	3
philosophy of logic	vagueness	3
philosophy of logic	noriko h. arai	3
philosophy of logic	aristotle	3
philosophy of logic	george boole	3
philosophy of logic	george boolos	3
philosophy of logic	john buridan	3
philosophy of logic	agata ciabattoni	3
philosophy of logic	alonzo church	3
philosophy of logic	gordon clark	3
philosophy of logic	michael dummett	3
philosophy of logic	augustus de morgan	3
philosophy of logic	gottlob frege	3
philosophy of logic	kurt gödel	3
philosophy of logic	georg hegel	3
philosophy of logic	william of ockham	3
philosophy of logic	peter of spain	3
philosophy of logic	rudolf carnap	3
philosophy of logic	immanuel kant	3
philosophy of logic	gottfried leibniz	3
philosophy of logic	david kellogg lewis	3
philosophy of logic	john stuart mill	3
philosophy of logic	charles sanders peirce	3
philosophy of logic	valeria de paiva	3
philosophy of logic	alvin plantinga	3
philosophy of logic	arthur prior	3
philosophy of logic	willard van orman quine	3
philosophy of logic	bertrand russell	3
philosophy of logic	alfred tarski	3
philosophy of logic	ludwig wittgenstein	3
philosophy of logic	w.v.o. quine	3
philosophy of logic	hilary putnam	3
philosophy of logic	saul kripke	3
philosophy of logic	donald davidson (philosopher)	3
non-standard analysis	overspill	3
non-standard analysis	nonstandard calculus	3
non-standard analysis	transfer principle	3
non-standard analysis	internal set theory	3
non-standard analysis	elementary calculus: an infinitesimal approach	3
non-standard analysis	hyperreal number	3
non-standard analysis	hyperinteger	3
non-standard analysis	infinitesimal	3
non-standard analysis	surreal number	3
non-standard analysis	non-classical analysis	3
non-standard analysis	smooth infinitesimal analysis	3
non-standard analysis	criticism of nonstandard analysis	3
non-standard analysis	influence of nonstandard analysis	3
non-standard analysis	hyperfinite set	3
non-standard analysis	constructive nonstandard analysis	3
non-standard analysis	calculus made easy	3
model theory	algebraic theory	3
model theory	axiomatizable class	3
model theory	compactness theorem	3
model theory	descriptive complexity	3
model theory	elementary equivalence	3
model theory	hyperreal number	3
model theory	institutional model theory	3
model theory	kripke semantics	3
model theory	löwenheim–skolem theorem	3
model theory	model-theoretic grammar	3
model theory	proof theory	3
model theory	saturated model	3
model theory	skolem normal form	3
model theory	web ontology language	3
golden ratio	golden angle	3
golden ratio	metallic mean	3
golden ratio	plastic number	3
golden ratio	sacred geometry	3
golden ratio	supergolden ratio	3
foundations of mathematics	mathematical logic	3
foundations of mathematics	brouwer–hilbert controversy	3
foundations of mathematics	church–turing thesis	3
foundations of mathematics	controversy over cantor's theory	3
foundations of mathematics	epistemology	3
foundations of mathematics	euclid's elements	3
foundations of mathematics	hilbert's problems	3
foundations of mathematics	implementation of mathematics in set theory	3
foundations of mathematics	liar paradox	3
foundations of mathematics	new foundations	3
foundations of mathematics	philosophy of mathematics	3
foundations of mathematics	principia mathematica	3
foundations of mathematics	quasi-empiricism in mathematics	3
foundations of mathematics	charles sanders peirce	3
formal language	combinatorics on words	3
formal language	free monoid	3
formal language	formal method	3
formal language	grammar framework	3
formal language	mathematical notation	3
formal language	associative array	3
formal language	string (computer science)	3
definitions of mathematics	philosophy of mathematics	3
definitions of mathematics	foundations of mathematics	3
mathematics and art	mathematics and architecture	2
mathematics and art	mathematics and dance	2
mathematics and art	music and mathematics	2
lists of mathematics topics	areas of mathematics	2
lists of mathematics topics	glossary of areas of mathematics	2
lists of mathematics topics	timeline of women in mathematics	2
timeline of women in mathematics	timeline of women in mathematics in the united states	3
glossary of areas of mathematics	areas of mathematics	3
glossary of areas of mathematics	lists of mathematics topics	3
glossary of areas of mathematics	glossary of astronomy	3
glossary of areas of mathematics	glossary of biology	3
glossary of areas of mathematics	glossary of calculus	3
glossary of areas of mathematics	glossary of chemistry terms	3
glossary of areas of mathematics	glossary of engineering	3
glossary of areas of mathematics	glossary of physics	3
glossary of areas of mathematics	glossary of probability and statistics	3
areas of mathematics	mathematics subject classification	3
areas of mathematics	glossary of areas of mathematics	3
music and mathematics	equal temperament	3
music and mathematics	euclidean rhythm	3
music and mathematics	euclid's algorithm	3
music and mathematics	harmony search	3
music and mathematics	interval (music)	3
music and mathematics	mathematics and art	3
music and mathematics	mathematics and dance	3
music and mathematics	musical tuning	3
music and mathematics	non-pythagorean scale	3
music and mathematics	piano key frequencies	3
music and mathematics	rhythm	3
music and mathematics	the glass bead game	3
music and mathematics	3rd bridge	3
music and mathematics	tonality diamond	3
music and mathematics	tonnetz	3
music and mathematics	utonality and otonality	3
mathematics and architecture	black rock city	3
mathematics and architecture	mathematics and art	3
mathematics and architecture	patterns in nature	3
international mathematical olympiad	international mathematics competition for university students	2
international mathematical olympiad	international science olympiad	2
international mathematical olympiad	pan-african mathematics olympiads	2
international mathematical olympiad	junior science talent search examination	2
international mathematical olympiad	art of problem solving	2
junior science talent search examination	kishore vaigyanik protsahan yojana	3
junior science talent search examination	joint entrance examination – advanced	3
junior science talent search examination	indian national mathematical olympiad	3
junior science talent search examination	indian national physics olympiad	3
international science olympiad	worldskills	3
international science olympiad	robocup	3
international science olympiad	tuymaada	3
social theory	continental philosophy	2
social theory	critical theory	2
social theory	culture theory	2
social theory	engaged theory	2
social theory	ethnomethodology	2
social theory	feminist theory	2
social theory	history of sociology	2
social theory	history of the social sciences	2
social theory	literary theory	2
social theory	political philosophy	2
social theory	political theory	2
social theory	post-colonial theory	2
social theory	post-structuralism	2
social theory	postmodernism	2
social theory	queer theory	2
social theory	sociocultural evolution	2
social theory	sociological theory	2
sociocultural evolution	accelerating change	3
sociocultural evolution	biocultural evolution	3
sociocultural evolution	clash of civilizations	3
sociocultural evolution	critical juncture theory	3
sociocultural evolution	cultural diversity	3
sociocultural evolution	cultural evolution	3
sociocultural evolution	cultural materialism (anthropology)	3
sociocultural evolution	cultural neuroscience	3
sociocultural evolution	cultural selection theory	3
sociocultural evolution	diffusion of innovations	3
sociocultural evolution	dual inheritance theory	3
sociocultural evolution	economic determinism	3
sociocultural evolution	edward burnett tylor	3
sociocultural evolution	evolutionary anthropology	3
sociocultural evolution	environmental racism	3
sociocultural evolution	extended order	3
sociocultural evolution	franz boas	3
sociocultural evolution	future studies	3
sociocultural evolution	guns, germs, and steel	3
sociocultural evolution	historicism	3
sociocultural evolution	institutional memory	3
sociocultural evolution	julian steward	3
sociocultural evolution	leslie white	3
sociocultural evolution	lewis henry morgan	3
sociocultural evolution	memetics	3
sociocultural evolution	moral progress	3
sociocultural evolution	neoevolutionism	3
sociocultural evolution	neuroculture	3
sociocultural evolution	origin of language	3
sociocultural evolution	origin of speech	3
sociocultural evolution	origins of society	3
sociocultural evolution	population dynamics	3
sociocultural evolution	punctuated equilibrium	3
sociocultural evolution	rationalization (sociology)	3
sociocultural evolution	raciolinguistics	3
sociocultural evolution	reformism	3
sociocultural evolution	social darwinism	3
sociocultural evolution	social cycle theory	3
sociocultural evolution	social dynamics	3
sociocultural evolution	social implications of the theory of evolution	3
sociocultural evolution	societal collapse	3
sociocultural evolution	sociocultural system	3
sociocultural evolution	social progress	3
sociocultural evolution	symbolic culture	3
postmodernism	second modernity	3
post-structuralism	development criticism	3
post-structuralism	narrative therapy	3
post-structuralism	post-postmodernism	3
post-structuralism	post-structural feminism	3
post-structuralism	post-structuralist subject	3
post-structuralism	reader-response criticism	3
post-structuralism	semiotics	3
post-structuralism	social criticism	3
post-structuralism	social theory	3
post-structuralism	kathy acker	3
post-structuralism	jean baudrillard	3
post-structuralism	roland barthes	3
post-structuralism	wendy brown (political theorist)	3
post-structuralism	judith butler	3
post-structuralism	rey chow	3
post-structuralism	hélène cixous	3
post-structuralism	gilles deleuze	3
post-structuralism	jacques derrida	3
post-structuralism	umberto eco	3
post-structuralism	john fiske (media studies)	3
post-structuralism	michel foucault	3
post-structuralism	rené girard	3
post-structuralism	félix guattari	3
post-structuralism	luce irigaray	3
post-structuralism	julia kristeva	3
post-structuralism	teresa de lauretis	3
post-structuralism	sarah kofman	3
post-structuralism	philippe lacoue-labarthe	3
post-structuralism	jean-françois lyotard	3
post-structuralism	chantal mouffe	3
post-structuralism	jean-luc nancy	3
post-structuralism	avital ronell	3
post-structuralism	bernard stiegler	3
post-colonial theory	ali shariati	3
post-colonial theory	amina wadud	3
post-colonial theory	anticolonialism	3
post-colonial theory	audre lorde	3
post-colonial theory	burn!	3
post-colonial theory	cultural cringe	3
post-colonial theory	cross-culturalism	3
post-colonial theory	decolonization	3
post-colonial theory	the dogs of war (film)	3
post-colonial theory	ethnology	3
post-colonial theory	fatima mernissi	3
post-colonial theory	an image of africa: racism in conrad's "heart of darkness"	3
post-colonial theory	chinua achebe	3
post-colonial theory	inversion in postcolonial theory	3
post-colonial theory	leila ahmed	3
post-colonial theory	linguistic imperialism	3
post-colonial theory	lila abu-lughod	3
post-colonial theory	kimberle crenshaw	3
post-colonial theory	kecia ali	3
post-colonial theory	nation-building	3
post-colonial theory	paulo freire	3
post-colonial theory	postcolonial anarchism	3
post-colonial theory	postcolonial feminism	3
post-colonial theory	postcolonial theology	3
post-colonial theory	post-communism	3
post-colonial theory	ranajit guha	3
post-colonial theory	ranjit hoskote	3
post-colonial theory	robert j.c. young	3
post-colonial theory	saba mahmood	3
post-colonial theory	street name controversy	3
post-colonial theory	talal asad	3
post-colonial theory	teju cole	3
sociological theory	sociological imagination	3
sociological theory	bibliography of sociology	3
sociological theory	timeline of sociology	3
sociological theory	history of the social sciences	3
political theory	anarchist schools of thought	3
political theory	consensus decision-making	3
political theory	consequentialist justifications of the state	3
political theory	critical theory	3
political theory	engaged theory	3
political theory	justification for the state	3
political theory	majoritarianism	3
political theory	panarchy	3
political theory	philosophy of law	3
political theory	political journalism	3
political theory	political spectrum	3
political theory	political theory (journal)	3
political theory	post-structuralism	3
political theory	progressivism	3
political theory	rechtsstaat	3
political theory	rule according to higher law	3
political theory	semiotics of culture	3
political theory	theodemocracy	3
political philosophy	anarchist schools of thought	3
political philosophy	consensus decision-making	3
political philosophy	consequentialist justifications of the state	3
political philosophy	critical theory	3
political philosophy	engaged theory	3
political philosophy	justification for the state	3
political philosophy	majoritarianism	3
political philosophy	panarchy	3
political philosophy	philosophy of law	3
political philosophy	political journalism	3
political philosophy	political spectrum	3
political philosophy	political theory (journal)	3
political philosophy	post-structuralism	3
political philosophy	progressivism	3
political philosophy	rechtsstaat	3
political philosophy	rule according to higher law	3
political philosophy	semiotics of culture	3
political philosophy	theodemocracy	3
literary theory	dramatic theory	3
literary theory	critical theory	3
literary theory	literary criticism	3
literary theory	text (literary theory)	3
literary theory	school of resentment	3
history of sociology	bibliography of sociology	3
history of sociology	subfields of sociology	3
history of sociology	timeline of sociology	3
history of sociology	philosophy of social science	3
history of the social sciences	historiography	3
history of the social sciences	history of geography	3
history of the social sciences	history of sociology	3
history of the social sciences	history of statistics	3
history of the social sciences	sociology	3
feminist theory	anarcha-feminism	3
feminist theory	antifeminism	3
feminist theory	atheist feminism	3
feminist theory	black feminism	3
feminist theory	chicana feminism	3
feminist theory	christian feminism	3
feminist theory	conflict theories	3
feminist theory	conservative feminism	3
feminist theory	cultural feminism	3
feminist theory	difference feminism	3
feminist theory	equality feminism	3
feminist theory	ecofeminism	3
feminist theory	feminism and modern architecture	3
feminist theory	fat feminism	3
feminist theory	feminist anthropology	3
feminist theory	feminist sociology	3
feminist theory	first-wave feminism	3
feminist theory	history of feminism	3
feminist theory	french feminism	3
feminist theory	gender equality	3
feminist theory	gender studies	3
feminist theory	global feminism	3
feminist theory	hermeneutics of feminism in islam	3
feminist theory	hip-hop feminism	3
feminist theory	indigenous feminism	3
feminist theory	individualist feminism	3
feminist theory	islamic feminism	3
feminist theory	jewish feminism	3
feminist theory	lesbian feminism	3
feminist theory	lipstick feminism	3
feminist theory	liberal feminism	3
feminist theory	material feminism	3
feminist theory	marxist feminism	3
feminist theory	networked feminism	3
feminist theory	neofeminism	3
feminist theory	new feminism	3
feminist theory	postcolonial feminism	3
feminist theory	postmodern feminism	3
feminist theory	post-structural feminism	3
feminist theory	pro-feminism	3
feminist theory	pro-life feminism	3
feminist theory	radical feminism	3
feminist theory	rape culture	3
feminist theory	separatist feminism	3
feminist theory	second-wave feminism	3
feminist theory	sex-positive feminism	3
feminist theory	sikh feminism	3
feminist theory	socialist feminism	3
feminist theory	standpoint feminism	3
feminist theory	state feminism	3
feminist theory	structuralism	3
feminist theory	third-wave feminism	3
feminist theory	transfeminism	3
feminist theory	transnational feminism	3
feminist theory	women's studies	3
engaged theory	anthropology	3
engaged theory	antipositivism	3
engaged theory	arena (australian publishing co-operative)	3
engaged theory	critical theory	3
engaged theory	critical animal studies	3
engaged theory	epistemology	3
engaged theory	grounded theory	3
engaged theory	post-marxism	3
engaged theory	quality of life	3
engaged theory	ontology	3
engaged theory	social change	3
engaged theory	sociology	3
culture theory	cultural studies	3
culture theory	culturology	3
culture theory	cultural behavior	3
culture theory	culture industry	3
culture theory	critical theory	3
culture theory	dual inheritance theory	3
culture theory	engaged theory	3
culture theory	intercultural relations	3
culture theory	popular culture studies	3
culture theory	semiotics of culture	3
culture theory	structuralism	3
culture theory	tartu–moscow semiotic school	3
critical theory	critical philosophy	3
critical theory	critical race theory	3
critical theory	information criticism	3
critical theory	marxist cultural analysis	3
critical theory	constellations (journal)	3
critical theory	representations	3
critical theory	critical inquiry	3
critical theory	telos (journal)	3
critical theory	law and critique	3
